image,ocr,country,location,recordedBy,recordNumber,catalogNumber,scientificName,day,year,month,dateIdentified,minimumElevationInMeters,identifiedBy,verbatimIdentification,decimalLatitude,decimalLongitude,verbatimElevation,maximumElevationInMeters,kingdom,elevation,countryCode,error.code,error.type,error.param,error.message,decimallatitude,institutionCode
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/vitis%20vinifera6.jpg,R. ISTITUTO FORESTALE DI VALLOMBROSA / Erbario / Vitis vinifera L. / & silvestres H. / Toscana a Follonica nelle macchie / 5.VT-901 / Ade Fiori / ...... / 4909,Toscana,Follonica nelle macchie,Ade Fiori,4909,5.VT-901,Vitis vinifera L.,,,,,,,,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/vitis%20vinifera5.jpg,"ensis. Augenflaugh."" / HERB. R. HORTI PATAVINI / Ampelidaceae. / Vitis vulpina Linné / var. rotundifolia Melix, / Fundort: Benen, im Dorf.... / Unterlage: Fartengrund / Datum: 13. Heller 1914. / Oktober / 9 u. 8. Sept 1915. / 1934 / BOLZANO / e: 280m. / Meereshöhe: / leg. Dr. W. Pfaff. / 490",,"Benen, im Dorf",Dr. W. Pfaff,,HERB. R. HORTI PATAVINI,Vitis vulpina,13,1914,10,8. Sept 1915,280,,,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/vitis%20riparia2.jpg,FLORA TRIVIGIANA / Votch Riparia / Hab. / Selve ag go / (Famiglia Ampelider) / D. Saccardo / ERBARIO P. A. Saccardo / HERB. R. HORTI PATAVINI / 4909,,Selve ag go,D. Saccardo,,4909,Votch Riparia,,,,,,P. A. Saccardo,,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/vitis%20cinerea.jpg,HERBARIUM PATAVINUM (PAD) / Centro Interdipartimentale Musei Scientifici dell'Università / 35123 Padova (Italia) / Vitis cinerea Wild / CRA / Derupts- Seynaro / Краче / (PD) / S. Mode sittembre 2009 / HV / Djº533 / 2 / 4909,Italia,Derupts- Seynaro,S. Mode,Djº533,HERBARIUM PATAVINUM (PAD),Vitis cinerea,,2009,9,,,,Vitis cinerea Wild,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/vitis%20aconitifolia.jpg,"HERB. R. HORTI PATAVINI / Flora Tirolensis. Augepflaust. / Ampelidaceae / 1. nat. / ERBAID / Band. / Unt / atum: 14. Mai 1912, / u. 16. Juni 1916. / aconitifolia He / For / Schutzengelhof. / 1.DAA / 1934 / BOLZANO / Meereshöhe: 280m / leg. Dr. W. Pfaff. / 49",BOLZANO,Schutzengelhof,Dr. W. Pfaff,1934,1,Ampelidaceae,14|16,1912|1916,5|6,,280,,,,,Meereshöhe: 280m,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/vicia%20monantha1.jpg,AN / King. / Coppóteria / Ervare. / In / multin / monan / monon / Ahoj / Me / I / da Madrid 97 / 18.1 / Joder / HERBARIUM R. HORTI PATAVINI / Coppoleria monantha / (Vicia) / Toe- / o / P. Boljon / hall / 미 / Hold/ / A / mala / V / 3852,,HERBARIUM R. HORTI PATAVINI,P. Boljon,,97,Coppoleria monantha,,18.1,,,,,,,,,3852,Coppóteria,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/vicia%20calcarata4.jpg,"2 / C / DS / Mot / MANN / Mr / catearate / Vicia triflam den / Gressone / Paglin / IT / 4.5 / 170 / WI / منصر / 2 / 700 / AXL / ANIL / a / a / calcarata Bast. / Horto Pat 1905 te gost / 1905. / Madrid. / 82 / """" / 3852",IT,Gressone|Paglin,C|MANN,,2,Vicia triflam,,,,1905,170,,a|a|calcarata Bast.,4.5,,WI,700,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/verbasco.jpg,ERBARIO DI LUIGI FILIPPO TIBERTELLI / DE PISIS (FERRARA) / Famiglia delle amphularise / Specie Verbascum / a / Varietá. / Aiva di / Località Ana 1. Roewe Longera leg / Data della raccolta 14 / yrste / 24 Agoste 1714. / Jell' esime fans / Osservazioni. / Tin / niven / vedi thassi forume Lehrad. / 149 / HERB. R. HORTI PATAVINI / Verbaru / num / 7460,,Ana 1. Roewe Longera,Luigi Filippo Tibertelli de Pisis,149,7460,Verbascum,24,1714,8,,,,,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/tulipa%20sylvestris.jpg,"the / Sh / C₁. G. / Ord. monogyn. / HERB. R. HORTI PATAVINI / Julipa jylvestris ( / HERD SPRANZI / in Collibig Bericis inter segetes, Sasso di d. Berta / Giglince / Julipa sylvesters h / Colli Berici ne campsi circostanti / al Santuario / HERB. SPRE / 1075",,Collibig Bericis|Colli Berici,HERB. R. HORTI PATAVINI|HERD SPRANZI|HERB. SPRE,,,Julipa jylvestris|Julipa sylvesters,,,,,,,,,,1075,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/trigonella%20hamosa.jpg,HERB. PATAV. (PAD) / H0057911 / Trigonella hamoja . Arab. Händaym / sponte : repit inter sejetes / Brouchs / O Trigonelles hamoſa & / Attica. / Jun / HERB. PATAV. (PAD) / H0057912 / Frigonella / Trigonella pamosen / de april Gypti modine. / Brochi / En / Farigon / Conella. / Jamosa L. / HERB. PATAV. (PAD) / { / H0057913 / 86 87,,Attica|gypti modine,Brouchs|Brochi|Jamosa L.,,H0057911|H0057912|H0057913,Trigonella hamoja|Trigonella pamosen,,,4|6,,,,,,,,,,,,,,,,,
