modified,catalognumber,recordedBy,recordNumber,day,month,year,family,genus,specificEpithet,scientificNameAuthorship,identifiedBy,country,stateProvince,county,municipality,verbatimLocality,minimumElevationInMeters,maximumElevationInMeters,habitat,associatedMedia,dateIdentified,basisOfRecord,occurrenceID,institutionCode,verbatimIdentification,scientificName,verbatimElevation,dynamicProperties,locality,catalogNumber,decimalLatitude
2022-12-14T07:42:21,3d8aa67d-042b-4725-a4f2-5cffd2dbd041,,,,,,,Zizipora,,,,,,,,,,,,https://storage.gbif-no.sigma2.no/img/tajikistan/TNU/3d8aa67d-042b-4725-a4f2-5cffd2dbd041.jpg,,PreservedSpecimen,3d8aa67d-042b-4725-a4f2-5cffd2dbd041,TNU,Zizipora pamiraclaica bus,Zizipora pamiraclaica,,"{""verbatimTranscription"": ""TNU Herbarium#Tajikistan#labiata#Ziziphora pamiraclaica bus Ущелье такоб . 50 м . от ласа Зуманд#h -2.800#Compous Mayoлов#19 / vї - 88#от 2 N7#определил Морозви#ля"", ""verbatimTransliteration"": ""TNU Herbarium#Tajikistan#labiata#Ziziphora pamiraclaica bus Uszel'e takob . 50 m . ot lasa Zumand#h -2.800#Compous Mayolov#19 / vї - 88#ot 2 N7#opredelil Morozvi#lja"", ""verbatimTranslation"": ""Ziziphora pamiraclaica bus Takob Gorge. 50 m. from las Zumand h -2.800 Compous Mayolov 19 / vї - 88 from 2 N7 determined Morozvil""}",,,
2023-07-24T08:22:15,,,,19,7,,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0001.jpg,,,,,,Scutellaria galericulata,,,,,
2023-07-24T08:22:15,,"V. A. Nikitin, M. P. Atrokhov",,18,,512,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0002.jpg,,,,,,scutellaria adenostegia,Высота н. у. м. 1900,,Monoberej'je verhov'jev reki Vakhsh-Surkhob,206,
2023-07-24T08:22:15,,Никитин,193,19,9,1947,,,,,Слуоренно,Tajikistan,,,,,3000,3000,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0003.jpg,,,,,,Scutellaria filicaulis,3000м.,,Южн. сн1. Кураминского хо,207,
2023-07-24T08:22:15,,гобрить 3 м 119 Собрі гинашина у,,,,,,,,,Наuukuна М.,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0004.jpg,,,,,,Scutellaria fodudiana B. Fedtsch,6=3.600,,"Гиссарский хр., окрестн. пер. Анзоб., западный склон, восочнее",,
2023-07-24T08:22:15,,Lochinova,,,,,,,,,Akulius,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0005.jpg,,,,,,Scutellaria hissarica,,,,,
2023-07-24T08:22:15,,,,,,,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0006.jpg,,,,,,Scutellaria orbicularis,Высота 1300м,,южн. скл. Гиссарского xp. ущ. кандара вде,,
2023-07-24T08:22:15,,Русина,211,,7,1952,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0007.jpg,,,,,,Scutellaria leptosiphon Nevski,,,"Южн. скл. Tuссорского хр. Ущ. р. Такоб, южн. скл. того- вост. экспозиция","TMHO 3. 615, T. 20000",
2023-07-24T08:22:15,,Логинова | Днулышина,,,,,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0008.jpg,,,,,,Scutellazia macrodonta Nevski,Высота 1200м,,Южн. скл. Гиссарского хр. Заповедник рамити Прав. берег р. Сардан,"TMHO 3. 615, T. 20000",
2023-07-24T08:22:15,,Починов,,,7,,,,,,Anуu,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0009.jpg,,,,,,Scutellaria ozientatis,/200.4.,,,T. 20000,
